,,,,,,,,,,,,
LIST OF PRODUCTS,,,,,,,,,,,,
Sr. No.,Name of Product,Basic Price,Standard Packing,Unit,HSN Code,GST Rate,M2 standard consumption,,,,,
1,Steripure S 30,,1,Ltr,340290,18%,0.010,,,,,
2,Steripure 10,,20,Kg,340290,18%,0.100,,,,,
3,Steripure  100,,20,Kg,340290,18%,0.006,,,,,
4,Steripure MBT 20,,20,Kg,340290,18%,0.100,,,,,
5,DuraClean WR,,20,Kg,381190,18%,0.100,,,,,
6,DuraClean OD,,20,Kg,340290,18%,0.100,,,,,
7,DuraBond,,20,Kg,390730,18%,0.500,,,,,
8,DB-1,,10,Kg,382450,18%,0.350,,,,,
9,DB-2,,20,Kg,390720,18%,0.100,,,,,
10,DB-3,,10,Kg,390720,18%,0.050,,,,,
11,DuraBond Pro,,10,Kg,390730,18%,0.500,,,,,
12,DB-1 Pro (Ceramic Pro),,10,Kg,382450,18%,0.036,,,,,
13,Cement 53G,,50,Kg,252329,18%,0.316,,,,,
14,DB-2 Pro,,20,Kg,390720,18%,0.100,,,,,
15,DB-3 Pro,,10,Kg,390720,18%,0.050,,,,,
16,DuraGuard,,10,Kg,390730,18%,0.500,,,,,
17,Duramix 1,,10,Kg,382450,18%,0.200,,,,,
18,Duramix 2,,20,Kg,390720,18%,0.200,,,,,
19,Duramix 3,,10,Kg,390720,18%,0.100,,,,,
20,DuraGuard Pro,,,Kg,,18%,0.500,,,,,
21,Cement 53G,,50,Kg,252329,18%,0.160,,,,,
22,Duramix 1Pro (Ceramic Pro),,10,Kg,382450,18%,0.040,,,,,
23,Duramix 2 Pro,,20,Kg,390720,18%,0.200,,,,,
24,Duramix 3 Pro,,10,Kg,390720,18%,0.100,,,,,
25,DuraMesh,,9,Mtr,540710,5%,2.000,,,,,
26,Aerocel Paper,,1,Mtr,,18%,1.000,,,,,
27,DuraCap,,20,kg,400219,18%,0.100,,,,,
28,DuraGuard Multicolour - Red,,"1,10",kg,382450,18%,0.040,,,,,
29,DuraGuard Multicolour - Yellow,,"1,10",kg,382450,18%,0.040,,,,,
30,DuraGuard Multicolour - White,,"1,10",kg,382450,18%,0.040,,,,,
31,DuraGuard Multicolour - Black,,"1,10",kg,382450,18%,0.040,,,,,
32,DuraGuard Multicolour - Blue,,"1,10",kg,382450,18%,0.040,,,,,
33,DuraGuard Multicolour - Green,,"1,10",kg,382450,18%,0.040,,,,,
34,JK White Cement ,,50,kg,996791,18%,0.160,,,,,
35,DuraGuard Multicolour REX,,20,kg,390720,18%,0.200,,,,,
36,DuraGuard Multicolour HD,,10,kg,390720,18%,0.100,,,,,
37,Nicomix 100,,30,kg,382450,18%,1.440,,,,,
38,Nicomix 200,,30,kg,382450,18%,1.440,,,,,
39,Nicomix 10,,30,kg,382450,18%,1.440,,,,2.4,
40,Nicomix WP,,30,kg,382450,18%,1.440,,,1.92,,0.48
41,Nicocil C80,,30,kg,382450,18%,1.440,,,,,0.32
42,Kelox R101,,20,kg,390720,18%,0.300,,,,,
43,Kelox H 404,,10,kg,390720,18%,0.150,,,,,
44,Kelmar A 60,,20,kg,400219,18%,0.150,,,,,
45,Kelmar A 80,,20,kg,400219,18%,0.150,,,,,
46,NIcCoat PC,,20,kg,382450,18%,0.200,,,,,
47,PICC Epoxy Rex,,20,kg,390720,18%,0.320,,,,,
48,PICC Epoxy HD,,10,kg,390720,18%,0.160,,,,,
49,NicGrout G 06,,10,kg,382450,18%,0.030,,,,,
50,Bitumen Epoxy,,,kg,390720,18%,,,,,,
51,Kelox RB 5050,,20,kg,390720,18%,0.320,,,,,
52,Kelox RH 4040,,5,kg,390720,18%,0.080,,,,,
53,Clonon Ready to use 100 ML,,50,ml,340290,18%,0.040,,,,,
54,Clonon Ready to use 450 ML,,12,ml,340290,18%,0.040,,,,,
55,Clonon Ready to use 5 Ltr,,1,Ltr,340290,18%,0.040,,,,,
56,Clonon Ready to use 25 Ltr,,1,Ltr,340290,18%,0.040,,,,,
57,Clonon Concentrate,,4,Ltr,340920,18%,0.040,,,,,
58,Clonon mist spray machine,,1,Kit,,,,,,,,
59,Nicomix R90,,30,Kg,382450,18%,3.000,,,,,
